oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
562113100004843,45013171,2458204.6314433143,58204.131713,13.5482702,0.0111321956,0,zg,91.8823245,22.357685,3.0940001,0.0500000007,20180327131713,562,0xd,0x1,19.5699997,26.2133236,0.0388549976,-0.107920907,1.89990096e-05,30,1.12899995,1
562113100004843,45014862,2458204.648351328,58204.1486227,13.5487185,0.0111325933,32768,zg,91.8823528,22.3576641,1.78699994,0.00999999978,20180327148588,562,0xd,0x1,19.5599995,26.2016716,0.0364567004,-0.116345637,1.66947539e-05,30,1.18499994,1
562113100004843,45112921,2458205.628844288,58205.129213,13.5461273,0.0111302957,0,zg,91.8823262,22.3577475,2.58200002,0.0340000018,20180328129201,562,0xd,0x1,19.2600002,26.220314,0.0418850519,-0.105308644,2.66113493e-05,30,1.13,1
562113100004843,45115065,2458205.6502888515,58205.1506597,13.5637751,0.0111459829,0,zg,91.8823534,22.3576915,0.675000012,0.00100000005,20180328150648,562,0xd,0x1,18.9699993,26.2039585,0.0472696126,-0.0945062786,3.98578959e-05,30,1.20299995,1
562113100004843,45212962,2458206.6291617528,58206.1296296,13.5414715,0.0111261737,0,zg,91.8824876,22.3575837,1.67499995,0.00600000005,20180329129630,562,0xd,0x1,19.7700005,26.1813717,0.0328012295,-0.102939919,1.29287901e-05,30,1.13900006,1
562113100004843,45214833,2458206.6478635897,58206.1483333,13.5311222,0.0111170346,0,zg,91.8824721,22.357592,1.07000005,0.00600000005,20180329148333,562,0xd,0x1,19.7800007,26.1709976,0.0336187258,-0.0952037498,1.36377848e-05,30,1.20500004,1
562113100004843,45217769,2458206.678786661,58206.1776968,13.7480307,0.0113160135,256,zg,91.8824709,22.3576207,1.653,0.00200000009,20180329177685,562,0xd,0x1,20.6000004,28.6587753,0.0192899164,-0.091278106,4.52585891e-06,300,1.35699999,3
562113100004843,45315050,2458207.649940459,58207.1505093,13.5556335,0.0111387344,32768,zg,91.8824244,22.3576548,1.98899996,0.00999999978,20180330150498,562,0xd,0x1,19.5599995,26.2000217,0.037276648,-0.112860128,1.74357847e-05,30,1.22599995,1
562113100004843,45315555,2458207.6565487664,58207.1555556,13.6267071,0.0112027433,33024,zg,91.8825216,22.3576153,6.28200006,0.0149999997,20180330155544,562,0xd,0x1,20.3899994,28.7190647,0.0255538747,-0.115200624,7.92178434e-06,300,1.24899995,3
562113100004843,45324307,2458207.742500638,58207.2430787,13.518364,0.0111058149,0,zg,91.8824968,22.3575705,1.70799994,0.0460000001,20180330243067,562,0xd,0x1,19.1200008,26.000206,0.0416137464,-0.0827231407,2.50429021e-05,30,2.19799995,1
562113100004843,45415541,2458208.65631119,58208.1554167,13.5332975,0.0111189531,33024,zg,91.8824751,22.3575438,1.10699999,0.0149999997,20180331155370,562,0xd,0x1,17.6900005,26.9090309,0.0309289414,-0.0699725971,6.46592162e-05,300,1.26199996,3
562113100004843,45416321,2458208.6625488144,58208.1632176,13.5297632,0.011115836,32768,zg,91.8824613,22.3575474,1.10000002,0.0120000001,20180331163206,562,0xd,0x1,17.3500004,24.6304379,0.0640226007,-0.0344346985,0.000404736435,30,1.30299997,1
562113100004843,45620364,2458210.7027764246,58210.2036458,13.5018692,0.0110913804,32768,zg,91.8824676,22.3575117,1.51199996,-0.0109999999,20180402203634,562,0xd,0x1,18.7600002,25.2552967,0.109946363,-0.0268379077,0.000221627008,30,1.68499994,1
